  CRL 2015:   37 unique hits ->   7 verified events
  CRL 2016:   44 unique hits ->   8 verified events
  CRL 2017:   35 unique hits ->   8 verified events
  CRL 2018:   64 unique hits ->   8 verified events
  CRL 2019:   44 unique hits ->  12 verified events
  CRL 2020:   51 unique hits ->  16 verified events
  CRL 2021:   74 unique hits ->  16 verified events
  CRL 2022:   60 unique hits ->   4 verified events
  CRL 2023:   35 unique hits ->   9 verified events
  CRL 2024:   21 unique hits ->   6 verified events
  CRL 2025:   29 unique hits ->   3 verified events
