kind,cik,date,name,sic,accession,ticker
APPROVAL,786947,2015-01-08,"ACURA PHARMACEUTICALS, INC  (ACUR)",2834,0001144204-15-001269,
APPROVAL,936402,2015-01-26,Shire plc,2834,0000950103-15-000520,
APPROVAL,1024126,2015-01-27,"PERNIX THERAPEUTICS HOLDINGS, INC.",2834,0001354488-15-000320,
CRL,861838,2015-02-09,"IDERA PHARMACEUTICALS, INC.",2836,0001193125-15-039214,
APPROVAL,879169,2015-02-12,INCYTE CORP  (INCY),8731,0001104659-15-009190,INCY
CRL,1396814,2015-03-02,"Pacira Pharmaceuticals, Inc.  (PCRX)",2834,0001104659-15-015879,PCRX
APPROVAL,1082554,2015-03-10,UNITED THERAPEUTICS Corp  (UTHR),2834,0001104659-15-018419,UTHR
APPROVAL,1411158,2015-03-12,"Anacor Pharmaceuticals, Inc.",2834,0001104659-15-019164,
APPROVAL,885590,2015-03-16,"Valeant Pharmaceuticals International, Inc.  (BHC)",2834,0001193125-15-093619,BHC
CRL,887247,2015-03-30,Adamis Pharmaceuticals Corp  (DMKPQ),2834,0001564590-15-002073,
APPROVAL,1567892,2015-04-06,Mallinckrodt plc,2834,0001193125-15-119480,
APPROVAL,907562,2015-04-29,DYAX CORP,8731,0001157523-15-001425,
APPROVAL,1080014,2015-04-30,THERAVANCE INC  (INVA),2834,0001104659-15-032638,INVA
CRL,1396814,2015-04-30,"Pacira Pharmaceuticals, Inc.  (PCRX)",2834,0001104659-15-031981,PCRX
APPROVAL,1436304,2015-05-04,KYTHERA BIOPHARMACEUTICALS INC,2834,0001104659-15-033277,
APPROVAL,1092662,2015-05-07,"CHEMBIO DIAGNOSTICS, INC.",2834,0001092662-15-000049,
APPROVAL,1578845,2015-05-11,Actavis plc,2834,0001144204-15-028974,
APPROVAL,1285819,2015-05-28,OMEROS CORP  (OMER),2834,0001193125-15-204165,OMER
CRL,792977,2015-05-28,AMAG PHARMACEUTICALS INC.,2834,0001104659-15-041379,
APPROVAL,1593034,2015-06-02,Endo International plc,2834,0001193125-15-210831,
APPROVAL,1059790,2015-06-03,POZEN INC /NC,2834,0001140361-15-022968,
APPROVAL,1267565,2015-06-19,"COLLEGIUM PHARMACEUTICAL, INC  (COLL)",2834,0001104659-15-046449,COLL
APPROVAL,1297184,2015-06-22,"Amphastar Pharmaceuticals, Inc.  (AMPH)",2834,0001171843-15-003533,AMPH
APPROVAL,1437402,2015-07-14,"ARDELYX, INC.  (ARDX)",2834,0001193125-15-251840,ARDX
APPROVAL,886163,2015-08-04,"LIGAND PHARMACEUTICALS INC  (LGND, LGNDZ, LGNXZ, LGNYZ, LGNZZ)",2834,0000886163-15-000083,LGNZZ
APPROVAL,1436304,2015-08-06,KYTHERA BIOPHARMACEUTICALS INC,2834,0001104659-15-057157,
APPROVAL,1060736,2015-08-17,SEATTLE GENETICS INC /WA,2836,0001193125-15-293320,
APPROVAL,1436304,2015-08-18,KYTHERA BIOPHARMACEUTICALS INC,2834,0001104659-15-060659,
APPROVAL,1491576,2015-09-03,"TESARO, Inc.",2834,0001104659-15-063472,
APPROVAL,1520262,2015-10-06,Alkermes plc.  (ALKS),2834,0001104659-15-069185,ALKS
APPROVAL,1103021,2015-10-15,BIODELIVERY SCIENCES INTERNATIONAL INC,2834,0001193125-15-344752,
APPROVAL,1422143,2015-10-20,"Kura Oncology, Inc.  (KURA)",2834,0001193125-15-348342,KURA
APPROVAL,1103021,2015-10-26,BIODELIVERY SCIENCES INTERNATIONAL INC,2834,0001193125-15-353496,
CRL,78003,2015-10-27,PFIZER INC  (PFE),2834,0000078003-15-000048,PFE
CRL,886163,2015-11-09,"LIGAND PHARMACEUTICALS INC  (LGND, LGNDZ, LGNXZ, LGNYZ, LGNZZ)",2834,0000886163-15-000108,LGNZZ
APPROVAL,1368514,2015-11-10,"ADMA BIOLOGICS, INC.  (ADMA)",2836,0001193805-15-001841,ADMA
CRL,1467652,2015-11-10,"Neos Therapeutics, Inc.",2834,0001104659-15-077731,
APPROVAL,939767,2015-11-10,"EXELIXIS, INC.  (EXEL)",8731,0000939767-15-000104,EXEL
CRL,897075,2015-12-01,REPROS THERAPEUTICS INC.,2836,0001171843-15-006596,
APPROVAL,827871,2015-12-08,"EAGLE PHARMACEUTICALS, INC.  (EGRX)",2834,0001104659-15-083556,
APPROVAL,1434647,2015-12-18,"KEMPHARM, INC  (ZVRA)",2834,0001193125-15-407915,ZVRA
APPROVAL,1411158,2016-01-11,"Anacor Pharmaceuticals, Inc.",2834,0001104659-16-088962,
APPROVAL,1285819,2016-01-19,OMEROS CORP  (OMER),2834,0001193125-16-431654,OMER
APPROVAL,14272,2016-01-28,"BRISTOL MYERS SQUIBB CO  (BMY, BMYMP, CELG-RI)",2834,0000014272-16-000260,CELG-RI
APPROVAL,899866,2016-02-03,ALEXION PHARMACEUTICALS INC,2834,0000899866-16-000222,
APPROVAL,908259,2016-02-04,OXIGENE INC  (OTLC),2836,0001193125-16-450629,OTLC
APPROVAL,887359,2016-02-22,Vericel Corp  (VCEL),2836,0001104659-16-098630,VCEL
APPROVAL,1416792,2016-02-24,Relypsa Inc,2834,0001193125-16-475780,
APPROVAL,813389,2016-03-11,"EMBER THERAPEUTICS, INC. - NY",2834,0001662252-16-000093,
CRL,827871,2016-03-18,"EAGLE PHARMACEUTICALS, INC.  (EGRX)",2834,0001104659-16-106011,
APPROVAL,1114220,2016-03-29,KERYX BIOPHARMACEUTICALS INC,2834,0001193125-16-520433,
APPROVAL,813389,2016-03-31,"EMBER THERAPEUTICS, INC. - NY",2834,0001662252-16-000113,
CRL,1339469,2016-04-18,"CHIASMA, INC",2834,0001193125-16-543792,
APPROVAL,1114220,2016-04-28,KERYX BIOPHARMACEUTICALS INC,2834,0001193125-16-561069,
APPROVAL,1012477,2016-05-02,FLAMEL TECHNOLOGIES SA  (AVDL),2834,0000910680-16-000133,
APPROVAL,1070494,2016-05-03,ACADIA PHARMACEUTICALS INC  (ACAD),2834,0001193125-16-575089,ACAD
APPROVAL,78003,2016-05-03,PFIZER INC  (PFE),2834,0000078003-16-000091,PFE
APPROVAL,886163,2016-05-04,"LIGAND PHARMACEUTICALS INC  (LGND, LGNDZ, LGNXZ, LGNYZ, LGNZZ)",2834,0000886163-16-000170,LGNZZ
APPROVAL,1267565,2016-05-10,"COLLEGIUM PHARMACEUTICAL, INC  (COLL)",2834,0001104659-16-119722,COLL
APPROVAL,1087294,2016-05-13,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-16-016339,CPIX
APPROVAL,1347178,2016-05-26,Vanda Pharmaceuticals Inc.  (VNDA),2834,0001193125-16-604386,VNDA
APPROVAL,1270073,2016-05-31,INTERCEPT PHARMACEUTICALS INC,2834,0001144204-16-105669,
APPROVAL,910267,2016-05-31,"TITAN PHARMACEUTICALS INC  (TTNP, TTNPW)",2836,0001144204-16-105951,
APPROVAL,1213037,2016-06-06,"Trovagene, Inc.  (CRDF)",2836,0001104659-16-125571,CRDF
APPROVAL,1012477,2016-06-07,FLAMEL TECHNOLOGIES SA  (AVDL),2834,0001144204-16-107258,
APPROVAL,1510964,2016-06-08,"CV Sciences, Inc.  (CVSI)",2833,0001019687-16-006616,CVSI
APPROVAL,1424151,2016-06-16,NEXUS BIOPHARMA INC,2834,0001078782-16-002996,
APPROVAL,944809,2016-06-21,"Opko Health, Inc.  (OPK)",2834,0001299933-16-002648,OPK
CRL,1535955,2016-06-29,Lipocine Inc.  (LPCN),2834,0001144204-16-110368,LPCN
APPROVAL,1516479,2016-07-05,"Insys Therapeutics, Inc.",2834,0001437749-16-034835,
APPROVAL,827871,2016-07-12,"EAGLE PHARMACEUTICALS, INC.  (EGRX)",2834,0001104659-16-132271,
APPROVAL,936402,2016-07-12,Shire plc,2834,0000950103-16-014778,
APPROVAL,1060736,2016-07-15,SEATTLE GENETICS INC /WA,2836,0001193125-16-649448,
APPROVAL,1080709,2016-07-19,ARENA PHARMACEUTICALS INC,2834,0001193125-16-650765,
APPROVAL,835887,2016-07-20,PROGENICS PHARMACEUTICALS INC,2834,0000835887-16-000166,
CRL,1053369,2016-07-21,ELITE PHARMACEUTICALS INC /NV/  (ELTP),2834,0001144204-16-113802,ELTP
CRL,1393434,2016-07-25,"OCULAR THERAPEUTIX, INC  (OCUL)",2834,0001193125-16-655920,OCUL
APPROVAL,1213037,2016-07-26,"Trovagene, Inc.  (CRDF)",2836,0001104659-16-134373,CRDF
APPROVAL,835887,2016-08-04,PROGENICS PHARMACEUTICALS INC,2834,0000835887-16-000172,
APPROVAL,1087294,2016-08-05,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-16-018626,CPIX
APPROVAL,1578845,2016-08-08,Allergan plc,2834,0001144204-16-117011,
APPROVAL,1011835,2016-08-09,"MEDIVATION, INC.",2834,0001193125-16-676774,
APPROVAL,1213037,2016-08-09,"Trovagene, Inc.  (CRDF)",2836,0001104659-16-138184,CRDF
CRL,1535955,2016-08-09,Lipocine Inc.  (LPCN),2834,0001144204-16-117435,LPCN
APPROVAL,1267565,2016-08-10,"COLLEGIUM PHARMACEUTICAL, INC  (COLL)",2834,0001104659-16-138633,COLL
APPROVAL,818033,2016-08-10,"HERON THERAPEUTICS, INC. /DE/  (HRTX)",2834,0001193125-16-677624,HRTX
APPROVAL,1595097,2016-08-15,"Corbus Pharmaceuticals Holdings, Inc.  (CRBP)",2834,0001493152-16-012331,CRBP
CRL,1269021,2016-08-19,PORTOLA PHARMACEUTICALS INC,2834,0001193125-16-686592,
APPROVAL,1424151,2016-09-02,NEXUS BIOPHARMA INC,2834,0001078782-16-003418,
APPROVAL,835887,2016-09-06,PROGENICS PHARMACEUTICALS INC,2834,0001437749-16-038352,
APPROVAL,1660719,2016-09-15,Aralez Pharmaceuticals Inc.,2834,0001104659-16-144790,
APPROVAL,1510964,2016-09-22,"CV Sciences, Inc.  (CVSI)",2833,0001683168-16-000173,CVSI
CRL,1069530,2016-09-26,PAIN THERAPEUTICS INC  (SAVA),2834,0001171843-16-012256,FLNA
CRL,1082038,2016-09-26,DURECT CORP  (DRRX),2834,0001193125-16-719543,
CRL,1339469,2016-09-30,"CHIASMA, INC",2834,0001193125-16-727626,
APPROVAL,1492426,2016-10-13,Horizon Pharma plc,2834,0001193125-16-737198,
APPROVAL,1424151,2016-10-14,NEXUS BIOPHARMA INC,2834,0001078782-16-003619,
APPROVAL,1087294,2016-11-03,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-16-020794,CPIX
APPROVAL,1516479,2016-11-03,"Insys Therapeutics, Inc.",2834,0001437749-16-040924,
