session,model,kind,side,ticker,confidence,abstain_probability,invalid_at,prompt_version,source,entry,exit,r_pct,hit,invalidated,scored_at,basis,entry_time
2026-09-17,deepseek,selected,LONG,CAE.TO,,,,,recovered_from_repo_notes_CLAUDE.md_day110,33.83,33.89,0.1774,1,,2026-09-22T17:03:14.223686-04:00,,
2026-09-17,deepseek,selected,LONG,EMA.TO,,,,,recovered_from_repo_notes_CLAUDE.md_day110,68.92,68.99,0.1016,1,,2026-09-22T17:03:14.223686-04:00,,
2026-09-17,deepseek,selected,SHORT,AGI.TO,,,,,recovered_from_repo_notes_CLAUDE.md_day110,49.06,50.02,-1.9568,0,,2026-09-22T17:03:14.223686-04:00,,
2026-09-17,deepseek,selected,SHORT,CG.TO,,,,,recovered_from_repo_notes_CLAUDE.md_day110,31.32,31.82,-1.5964,0,,2026-09-22T17:03:14.223686-04:00,,
2026-09-17,engine,board,LONG,ABX.TO,,,,,recovered_from_published_email_2026-09-17,60.58,61.16,0.9574,1,,2026-09-22T17:03:14.223686-04:00,,
2026-09-17,engine,board,LONG,AC.TO,,,,,recovered_from_published_email_2026-09-17,27.96,27.84,-0.4292,0,,2026-09-22T17:03:14.223686-04:00,,
2026-09-17,engine,board,SHORT,ENB.TO,,,,,recovered_from_published_email_2026-09-17,67.98,68.22,-0.353,0,,2026-09-22T17:03:14.223686-04:00,,
2026-09-17,engine,board,SHORT,NTR.TO,,,,,recovered_from_published_email_2026-09-17,109.29,110.48,-1.0888,0,,2026-09-22T17:03:14.223686-04:00,,
2026-09-21,engine,board,LONG,BCE.TO,,,,,recovered_from_published_email_2026-09-21,30.8,30.87,0.2273,1,,2026-09-22T17:03:14.223686-04:00,,
2026-09-21,engine,board,LONG,MFC.TO,,,,,recovered_from_published_email_2026-09-21,62.48,62.61,0.2081,1,,2026-09-22T17:03:14.223686-04:00,,
2026-09-21,engine,board,SHORT,CM.TO,,,,,recovered_from_published_email_2026-09-21,162.89,163.18,-0.178,0,,2026-09-22T17:03:14.223686-04:00,,
2026-09-21,engine,board,SHORT,RY.TO,,,,,recovered_from_published_email_2026-09-21,287.5,289.44,-0.6748,0,,2026-09-22T17:03:14.223686-04:00,,
2026-09-22,deepseek,selected,LONG,DOL.TO,0.56,,,,recovered_from_published_page_2026-09-22,182.14,180.525,-0.8867,0,,2026-09-22T16:22:08.931675-04:00,,
2026-09-22,deepseek,selected,LONG,STN.TO,0.53,,,,recovered_from_published_page_2026-09-22,99.53,100.15,0.6229,1,,2026-09-22T16:22:08.931675-04:00,,
2026-09-22,deepseek,selected,SHORT,CNQ.TO,0.6,,,,recovered_from_published_page_2026-09-22,66.78,67.23,-0.6739,0,,2026-09-22T16:22:08.931675-04:00,,
2026-09-22,deepseek,selected,SHORT,SU.TO,0.62,,,,recovered_from_published_page_2026-09-22,93.14,94.16,-1.0951,0,,2026-09-22T16:22:08.931675-04:00,,
2026-09-22,engine,board,LONG,BCE.TO,,,,,recovered_from_published_page_2026-09-22,30.86,30.54,-1.0369,0,,2026-09-22T17:03:14.223686-04:00,,
2026-09-22,engine,board,LONG,BMO.TO,,,,,recovered_from_published_page_2026-09-22,248.63,245.36,-1.3152,0,,2026-09-22T17:03:14.223686-04:00,,
2026-09-22,engine,board,SHORT,AEM.TO,,,,,recovered_from_published_page_2026-09-22,280.74,286.46,-2.0375,0,,2026-09-22T17:03:14.223686-04:00,,
2026-09-22,engine,board,SHORT,NTR.TO,,,,,recovered_from_published_page_2026-09-22,104.29,106.22,-1.8506,0,,2026-09-22T17:03:14.223686-04:00,,
2026-09-23,claude,selected,LONG,DOL.TO,0.55,,179.22,session,published_report,178.03,178.4,0.2078,1,1,2026-09-23T16:21:04.667794-04:00,,
2026-09-23,claude,selected,LONG,TECK-B.TO,0.55,,65.58,session,published_report,93.16,94.21,1.1271,1,0,2026-09-23T16:21:04.667794-04:00,,
2026-09-23,claude,selected,SHORT,CNQ.TO,0.55,,66.8,session,published_report,67.69,67.16,0.783,1,1,2026-09-23T16:21:04.667794-04:00,,
2026-09-23,claude,selected,SHORT,SSRM.TO,0.58,,52.45,session,published_report,51.42,51.15,0.5251,1,1,2026-09-23T16:21:04.667794-04:00,,
2026-09-23,engine,board,LONG,CNQ.TO,0.561,,,,published_report,67.69,67.16,-0.783,0,,2026-09-23T16:21:04.667794-04:00,,
2026-09-23,engine,board,LONG,SU.TO,0.577,,,,published_report,95.31,95.83,0.5456,1,,2026-09-23T16:21:04.667794-04:00,,
2026-09-23,engine,board,SHORT,CP.TO,0.577,,,,published_report,124.41,124.49,-0.0643,0,,2026-09-23T16:21:04.667794-04:00,,
2026-09-23,engine,board,SHORT,ENB.TO,0.575,,,,published_report,67.62,67.49,0.1923,1,,2026-09-23T16:21:04.667794-04:00,,
2026-09-24,claude,late,LONG,FTT.TO,0.53,,102.99,,late_picks,105.02,104.75,-0.2571,0,0,2026-09-24T17:25:40.050333-04:00,,10:10
2026-09-24,claude,late,LONG,SU.TO,0.54,,94.93,,late_picks,97.8,97.07,-0.7464,0,0,2026-09-24T17:25:40.050333-04:00,,10:10
2026-09-24,claude,late,SHORT,CCO.TO,0.52,,132.13,,late_picks,126.07,124.57,1.1898,1,0,2026-09-24T17:25:40.050333-04:00,,10:10
2026-09-24,claude,late,SHORT,SSRM.TO,0.53,,52.48,,late_picks,49.74,50.63,-1.7893,0,0,2026-09-24T17:25:40.050333-04:00,,10:10
2026-09-24,deepseek,late,LONG,SU.TO,0.58,,95.07,,late_picks,97.8,97.07,-0.7464,0,0,2026-09-24T17:25:40.050333-04:00,,10:10
2026-09-24,deepseek,late,LONG,TOU.TO,0.55,,60.3,,late_picks,61.2,61.43,0.3758,1,0,2026-09-24T17:25:40.050333-04:00,,10:10
2026-09-24,deepseek,late,SHORT,ATZ.TO,0.55,,124.62,,late_picks,118.31,115.02,2.7808,1,0,2026-09-24T17:25:40.050333-04:00,,10:10
2026-09-24,deepseek,late,SHORT,WSP.TO,0.6,,190.34,,late_picks,181.75,179.74,1.1059,1,0,2026-09-24T17:25:40.050333-04:00,,10:10
2026-09-24,jev,late_forced,LONG,FTT.TO,0.28,0.58,,,late_picks,105.02,104.75,-0.2571,0,,2026-09-24T17:25:40.050333-04:00,,10:10
2026-09-24,jev,late_forced,SHORT,AEM.TO,0.11,0.48,,,late_picks,271.81,273.92,-0.7763,0,,2026-09-24T17:25:40.050333-04:00,,10:10
2026-09-25,claude,selected,LONG,LUG.TO,0.52,,89.8,session,published_report,,,,,,,news,
2026-09-25,deepseek,selected,LONG,AC.TO,0.53,,28.24,,published_report,,,,,,,technical,
2026-09-25,deepseek,selected,LONG,ATZ.TO,0.56,,114.9,,published_report,,,,,,,technical,
2026-09-25,deepseek,selected,SHORT,GIL.TO,0.6,,58.03,,published_report,,,,,,,technical,
2026-09-25,deepseek,selected,SHORT,K.TO,0.55,,34.81,,published_report,,,,,,,news,
2026-09-25,engine,board,LONG,NTR.TO,0.55,,,,published_report,,,,,,,,
2026-09-25,engine,board,SHORT,CP.TO,0.624,,,,published_report,,,,,,,,
2026-09-25,engine,board,SHORT,ENB.TO,0.589,,,,published_report,,,,,,,,
2026-09-25,jev,forced,LONG,DOL.TO,0.25,0.56,,,published_report,,,,,,,,
2026-09-25,jev,forced,SHORT,GIL.TO,0.58,0.44,,,published_report,,,,,,,,
