tsx,us,settlement_date,publish_date,si,si_prev,adv,dtc,change_pct,issue_name
ABX.TO,GOLD,2019-01-15,2019-01-28,19699434,2359626,16589755,1.19,734.85,Barrick Gold Corp.
ABX.TO,GOLD,2019-01-31,2019-02-13,19439473,19699434,13901609,1.4,-1.32,Barrick Gold Corp.
ABX.TO,GOLD,2019-02-15,2019-02-28,18895730,19439473,13569537,1.39,-2.8,Barrick Gold Corp.
ABX.TO,GOLD,2019-02-28,2019-03-13,20402608,18895730,21685153,1.0,7.97,Barrick Gold Corp.
ABX.TO,GOLD,2019-03-15,2019-03-28,24476692,20402608,15589938,1.57,19.97,Barrick Gold Corp.
ABX.TO,GOLD,2019-03-29,2019-04-11,24753012,24476692,16757355,1.48,1.13,Barrick Gold Corp.
ABX.TO,GOLD,2019-04-15,2019-04-26,23391830,24753012,11198581,2.09,-5.5,Barrick Gold Corp.
ABX.TO,GOLD,2019-04-30,2019-05-13,21022179,23391830,10291391,2.04,-10.13,Barrick Gold Corp.
ABX.TO,GOLD,2019-05-15,2019-05-28,22833803,21022179,13172785,1.73,8.62,Barrick Gold Corp.
ABX.TO,GOLD,2019-05-31,2019-06-13,22259694,22833803,11809615,1.88,-2.51,Barrick Gold Corp.
ABX.TO,GOLD,2019-06-14,2019-06-27,25891160,22259694,15796226,1.64,16.31,Barrick Gold Corp.
ABX.TO,GOLD,2019-06-28,2019-07-11,27980172,25891160,22328084,1.25,8.07,Barrick Gold Corp.
ABX.TO,GOLD,2019-07-15,2019-07-26,30367370,27980172,14850110,2.04,8.53,Barrick Gold Corp.
ABX.TO,GOLD,2019-07-31,2019-08-13,28972389,30367370,17191103,1.69,-4.59,Barrick Gold Corp.
ABX.TO,GOLD,2019-08-15,2019-08-28,30998688,28972389,19092680,1.62,6.99,Barrick Gold Corp.
ABX.TO,GOLD,2019-08-30,2019-09-12,32418296,30998688,16340773,1.98,4.58,Barrick Gold Corp.
ABX.TO,GOLD,2019-09-13,2019-09-26,27107956,32418296,20772634,1.3,-16.38,Barrick Gold Corp.
ABX.TO,GOLD,2019-09-30,2019-10-11,35415084,27107956,16188421,2.19,30.64,Barrick Gold Corp.
ABX.TO,GOLD,2019-10-15,2019-10-28,32943096,35415084,13733154,2.4,-6.98,Barrick Gold Corp.
ABX.TO,GOLD,2019-10-31,2019-11-13,28347147,32943096,10769281,2.63,-13.95,Barrick Gold Corp.
ABX.TO,GOLD,2019-11-15,2019-11-28,29504372,28347147,12462000,2.37,4.08,Barrick Gold Corp.
ABX.TO,GOLD,2019-11-29,2019-12-12,29683439,29504372,8946592,3.32,0.61,Barrick Gold Corp.
ABX.TO,GOLD,2019-12-13,2019-12-26,30481348,29683439,10412881,2.93,2.69,Barrick Gold Corp.
ABX.TO,GOLD,2019-12-31,2020-01-13,27576969,30481348,8703804,3.17,-9.53,Barrick Gold Corp.
ABX.TO,GOLD,2020-01-15,2020-01-28,27601785,27576969,10054963,2.75,0.09,Barrick Gold Corp.
ABX.TO,GOLD,2020-01-31,2020-02-13,27501237,29284010,12076184,2.28,-6.09,Barrick Gold Corp.
ABX.TO,GOLD,2020-02-14,2020-02-27,25084358,27501237,9658453,2.6,-8.79,Barrick Gold Corp.
ABX.TO,GOLD,2020-02-28,2020-03-12,25667506,25084358,25333320,1.01,2.32,Barrick Gold Corp.
ABX.TO,GOLD,2020-03-13,2020-03-26,23038696,25667506,23944673,1.0,-10.24,Barrick Gold Corp.
ABX.TO,GOLD,2020-03-31,2020-04-13,17223455,23038696,25888835,1.0,-25.24,Barrick Gold Corp.
ABX.TO,GOLD,2020-04-15,2020-04-28,17988974,17223455,20072905,1.0,4.44,Barrick Gold Corp.
ABX.TO,GOLD,2020-04-30,2020-05-13,18442104,17988974,19627511,1.0,2.52,Barrick Gold Corp.
ABX.TO,GOLD,2020-05-15,2020-05-28,18981321,19908666,14686976,1.29,-4.66,Barrick Gold Corp.
ABX.TO,GOLD,2020-05-29,2020-06-11,19061753,18981321,19006308,1.0,0.42,Barrick Gold Corp.
ABX.TO,GOLD,2020-06-15,2020-06-26,19548065,19061753,19212604,1.02,2.55,Barrick Gold Corp.
ABX.TO,GOLD,2020-06-30,2020-07-13,14280634,19548065,13016116,1.1,-26.95,Barrick Gold Corp.
ABX.TO,GOLD,2020-07-15,2020-07-28,14746095,14280634,12221697,1.21,3.26,Barrick Gold Corp.
ABX.TO,GOLD,2020-07-31,2020-08-13,15143440,14746095,15691631,1.0,2.69,Barrick Gold Corp.
ABX.TO,GOLD,2020-08-14,2020-08-27,17092663,15143440,18007687,1.0,12.87,Barrick Gold Corp.
ABX.TO,GOLD,2020-08-31,2020-09-11,22988237,17092663,23430462,1.0,34.49,Barrick Gold Corp.
ABX.TO,GOLD,2020-09-15,2020-09-28,17908903,22988237,15571832,1.15,-22.1,Barrick Gold Corp.
ABX.TO,GOLD,2020-09-30,2020-10-13,17171359,17908903,16836181,1.02,-4.12,Barrick Gold Corp.
ABX.TO,GOLD,2020-10-15,2020-10-28,15742207,17171359,11692197,1.35,-8.32,Barrick Gold Corp.
ABX.TO,GOLD,2020-10-30,2020-11-12,16390690,15742207,11744567,1.4,4.12,Barrick Gold Corp.
ABX.TO,GOLD,2020-11-13,2020-11-26,14691535,16390690,19095655,1.0,-10.37,Barrick Gold Corp.
ABX.TO,GOLD,2020-11-30,2020-12-11,15569242,14691535,23384791,1.0,5.97,Barrick Gold Corp.
ABX.TO,GOLD,2020-12-15,2020-12-28,11579408,15569242,16317592,1.0,-25.63,Barrick Gold Corp.
ABX.TO,GOLD,2020-12-31,2021-01-13,12934067,11579408,14196293,1.0,11.7,Barrick Gold Corp.
ABX.TO,GOLD,2021-01-15,2021-01-28,15899745,12934067,22368468,1.0,22.93,Barrick Gold Corp.
ABX.TO,GOLD,2021-01-29,2021-02-11,10754472,15899745,15980983,1.0,-32.36,Barrick Gold Corp.
ABX.TO,GOLD,2021-02-12,2021-02-25,10494589,10754472,13483293,1.0,-2.42,Barrick Gold Corp.
ABX.TO,GOLD,2021-02-26,2021-03-11,16087753,10494589,24268090,1.0,53.3,Barrick Gold Corp.
ABX.TO,GOLD,2021-03-15,2021-03-26,18953976,16087753,18011443,1.05,17.82,Barrick Gold Corp.
ABX.TO,GOLD,2021-03-31,2021-04-13,13443526,18953976,16094067,1.0,-29.07,Barrick Gold Corp.
ABX.TO,GOLD,2021-04-15,2021-04-28,17347815,13443526,14798776,1.17,29.04,Barrick Gold Corp.
ABX.TO,GOLD,2021-04-30,2021-05-13,19978458,17347815,14004071,1.43,15.16,Barrick Gold Corp.
ABX.TO,GOLD,2021-05-14,2021-05-27,20769868,19978458,16065635,1.29,3.96,Barrick Gold Corp.
ABX.TO,GOLD,2021-05-28,2021-06-10,25807219,20769868,16546722,1.56,24.25,Barrick Gold Corp.
ABX.TO,GOLD,2021-06-15,2021-06-28,15555205,25801719,12929319,1.2,-39.71,Barrick Gold Corp.
ABX.TO,GOLD,2021-06-30,2021-07-13,24466067,15555205,16776536,1.46,57.29,Barrick Gold Corp.
ABX.TO,GOLD,2021-07-15,2021-07-28,28260194,24466067,12974728,2.18,15.51,Barrick Gold Corp.
ABX.TO,GOLD,2021-07-30,2021-08-12,22430391,28260194,13244013,1.69,-20.63,Barrick Gold Corp.
ABX.TO,GOLD,2021-08-13,2021-08-26,22417402,22430391,17298577,1.3,-0.06,Barrick Gold Corp.
ABX.TO,GOLD,2021-08-31,2021-09-13,18449832,22417402,14932999,1.24,-17.7,Barrick Gold Corp.
ABX.TO,GOLD,2021-09-15,2021-09-28,15479292,18449832,16488832,1.0,-16.1,Barrick Gold Corp.
ABX.TO,GOLD,2021-09-30,2021-10-13,17243351,15479292,22593512,1.0,11.4,Barrick Gold Corp.
ABX.TO,GOLD,2021-10-15,2021-10-28,19651038,17243351,17116359,1.15,13.96,Barrick Gold Corp.
ABX.TO,GOLD,2021-10-29,2021-11-11,21557220,19651038,14623460,1.47,9.7,Barrick Gold Corp.
ABX.TO,GOLD,2021-11-15,2021-11-26,20980925,21557220,18984046,1.11,-2.67,Barrick Gold Corp.
ABX.TO,GOLD,2021-11-30,2021-12-13,19918343,20980925,16936883,1.18,-5.06,Barrick Gold Corp.
ABX.TO,GOLD,2021-12-15,2021-12-28,15582101,19918343,18319710,1.0,-21.77,Barrick Gold Corp.
ABX.TO,GOLD,2021-12-31,2022-01-13,15346797,15582101,16493943,1.0,-1.51,Barrick Gold Corp.
ABX.TO,GOLD,2022-01-14,2022-01-27,16253504,15346797,15918786,1.02,5.91,Barrick Gold Corp.
ABX.TO,GOLD,2022-01-31,2022-02-11,14428965,16253504,21453119,1.0,-11.23,Barrick Gold Corp.
ABX.TO,GOLD,2022-02-15,2022-02-28,16840556,14428965,18510949,1.0,16.71,Barrick Gold Corp.
ABX.TO,GOLD,2022-02-28,2022-03-11,14137659,16840556,33821072,1.0,-16.05,Barrick Gold Corp.
ABX.TO,GOLD,2022-03-15,2022-03-28,21632676,14137659,32461926,1.0,53.01,Barrick Gold Corp.
ABX.TO,GOLD,2022-03-31,2022-04-13,17128880,21632676,19884342,1.0,-20.82,Barrick Gold Corp.
ABX.TO,GOLD,2022-04-14,2022-04-27,17885298,17128880,16057382,1.11,4.42,Barrick Gold Corp.
ABX.TO,GOLD,2022-04-29,2022-05-12,14346574,17885298,20341310,1.0,-19.79,Barrick Gold Corp.
ABX.TO,GOLD,2022-05-13,2022-05-26,15786859,14346574,20987183,1.0,10.04,Barrick Gold Corp.
ABX.TO,GOLD,2022-05-31,2022-06-13,18874291,15786859,17722561,1.06,19.56,Barrick Gold Corp.
ABX.TO,GOLD,2022-06-15,2022-06-28,29185558,18874291,16794209,1.74,54.63,Barrick Gold Corp.
ABX.TO,GOLD,2022-06-30,2022-07-13,33884681,29185558,20253164,1.67,16.1,Barrick Gold Corp.
ABX.TO,GOLD,2022-07-15,2022-07-28,31336591,33884681,22330185,1.4,-7.52,Barrick Gold Corp.
ABX.TO,GOLD,2022-07-29,2022-08-11,28344495,31336591,23927879,1.18,-9.55,Barrick Gold Corp.
ABX.TO,GOLD,2022-08-15,2022-08-26,42942036,28344495,21923036,1.96,51.5,Barrick Gold Corp.
ABX.TO,GOLD,2022-08-31,2022-09-13,91132180,42942036,21993630,4.14,112.22,Barrick Gold Corp.
