date,ticker,side,p_sided,confidence,p945,role,weight,r1,hit
2026-07-08,T.TO,LONG,0.610,n/a,14.8600,,,-0.400,0
2026-07-08,TRP.TO,LONG,0.590,n/a,97.6700,,,0.030,1
2026-07-08,BCE.TO,LONG,0.550,n/a,30.5400,,,-0.390,0
2026-07-08,AEM.TO,SHORT,0.600,n/a,207.3200,,,-0.960,1
2026-07-08,ABX.TO,SHORT,0.570,n/a,51.1800,,,-1.270,1
2026-07-09,BMO.TO,LONG,0.600,dense,248.8800,,,0.695,1
2026-07-09,CM.TO,LONG,0.580,dense,162.7800,,,0.461,1
2026-07-09,BNS.TO,LONG,0.580,mid,121.0700,,,0.686,1
2026-07-09,RY.TO,LONG,0.570,dense,293.8500,,,0.677,1
2026-07-09,MFC.TO,LONG,0.570,dense,58.6700,,,0.136,1
2026-07-09,SLF.TO,LONG,0.570,dense,113.0800,,,0.646,1
2026-07-09,AC.TO,LONG,0.550,dense,24.9800,,,-0.641,0
2026-07-09,NTR.TO,SHORT,0.570,sparse,92.7800,,,-1.380,1
2026-07-09,SHOP.TO,SHORT,0.550,sparse,169.8800,,,2.690,0
2026-07-09,ENB.TO,SHORT,0.550,dense,77.8600,,,-0.681,1
2026-07-10,BMO.TO,LONG,0.650,dense,251.9700,,,0.564,1
2026-07-10,MFC.TO,LONG,0.612,dense,59.0500,,,-0.898,0
2026-07-10,SLF.TO,LONG,0.598,dense,114.5100,,,-1.161,0
2026-07-10,CP.TO,LONG,0.597,mid,127.9000,,,-0.219,0
2026-07-10,NTR.TO,LONG,0.589,sparse,91.3800,,,1.269,1
2026-07-10,SU.TO,LONG,0.587,dense,83.1400,,,0.818,1
2026-07-10,CNQ.TO,LONG,0.585,dense,59.5200,,,-0.706,0
2026-07-10,BNS.TO,LONG,0.576,dense,122.4500,,,1.380,1
2026-07-10,TRP.TO,LONG,0.565,dense,96.4200,,,-1.089,0
2026-07-10,BCE.TO,LONG,0.562,dense,30.2900,,,-0.033,0
2026-07-10,T.TO,LONG,0.562,mid,14.9150,,,-1.039,0
2026-07-10,ENB.TO,LONG,0.561,dense,77.5400,,,-0.258,0
2026-07-10,TD.TO,SHORT,0.553,mid,168.8000,,,1.220,0
2026-07-13,CNR.TO,LONG,0.647,sparse,177.5100,board,,0.011,1
2026-07-13,TRP.TO,LONG,0.589,mid,96.0000,board,,0.208,1
2026-07-13,T.TO,LONG,0.580,sparse,15.0000,board,,-0.600,0
2026-07-13,ENB.TO,LONG,0.576,mid,77.9400,board,,0.038,1
2026-07-13,BCE.TO,LONG,0.568,mid,30.5900,board,,-0.621,0
2026-07-13,TD.TO,LONG,0.563,mid,170.8000,board,,-0.064,0
2026-07-13,CP.TO,LONG,0.561,dense,128.2300,pair,,0.866,1
2026-07-13,SLF.TO,LONG,0.553,sparse,111.5800,board,,-0.520,0
2026-07-13,ABX.TO,SHORT,0.564,sparse,50.8900,pair,,-0.157,1
2026-07-14,TD.TO,LONG,0.598,sparse,171.8900,board,,0.535,1
2026-07-14,CM.TO,LONG,0.579,mid,166.9700,pair,,-0.174,0
2026-07-14,BNS.TO,LONG,0.566,mid,125.0400,board,,0.168,1
2026-07-14,SLF.TO,LONG,0.559,mid,111.5500,board,,0.314,1
2026-07-14,BCE.TO,SHORT,0.638,sparse,29.8300,board,,-0.067,1
2026-07-14,ENB.TO,SHORT,0.611,dense,78.0300,pair,,0.859,0
2026-07-14,SHOP.TO,SHORT,0.609,sparse,175.1100,board,,0.988,0
2026-07-15,MFC.TO,LONG,0.650,sparse,59.0700,board,,2.404,1
2026-07-15,RY.TO,LONG,0.613,dense,302.1600,board,,1.185,1
2026-07-15,TD.TO,LONG,0.599,dense,173.3600,board,,1.102,1
2026-07-15,SU.TO,LONG,0.596,mid,85.7700,board,,-0.618,0
