date,ticker,p945
2026-07-20,AC.TO,22.5450
2026-07-20,RY.TO,302.3400
2026-07-20,TD.TO,173.5500
2026-07-20,BNS.TO,125.0100
2026-07-20,BMO.TO,255.4700
2026-07-20,CM.TO,170.2200
2026-07-20,ENB.TO,79.6500
2026-07-20,TRP.TO,98.1100
2026-07-20,CNQ.TO,60.8300
2026-07-20,SU.TO,87.1300
2026-07-20,CVE.TO,39.1400
2026-07-20,CP.TO,131.1200
2026-07-20,CNR.TO,180.2000
2026-07-20,SHOP.TO,176.4000
2026-07-20,ABX.TO,49.0600
2026-07-20,AEM.TO,192.6500
2026-07-20,NTR.TO,93.3100
2026-07-20,MFC.TO,60.8700
2026-07-20,SLF.TO,114.8200
2026-07-20,BCE.TO,30.4900
2026-07-20,T.TO,14.5200
2026-07-21,AC.TO,22.8100
2026-07-21,RY.TO,295.4200
2026-07-21,TD.TO,169.3800
2026-07-21,BNS.TO,122.6850
2026-07-21,BMO.TO,250.7500
2026-07-21,CM.TO,165.3000
2026-07-21,ENB.TO,77.7800
2026-07-21,TRP.TO,96.1000
2026-07-21,CNQ.TO,62.8000
2026-07-21,SU.TO,88.9450
2026-07-21,CVE.TO,40.4300
2026-07-21,CP.TO,127.6900
2026-07-21,CNR.TO,176.2800
2026-07-21,SHOP.TO,171.2700
2026-07-21,ABX.TO,49.9100
2026-07-21,AEM.TO,195.3300
2026-07-21,NTR.TO,93.7400
2026-07-21,MFC.TO,60.1650
2026-07-21,SLF.TO,113.8100
2026-07-21,BCE.TO,30.4900
2026-07-21,T.TO,14.0500
2026-07-22,AC.TO,22.5450
2026-07-22,RY.TO,297.4800
2026-07-22,TD.TO,170.2600
2026-07-22,BNS.TO,123.7100
2026-07-22,BMO.TO,253.2300
2026-07-22,CM.TO,166.0800
2026-07-22,ENB.TO,78.7900
2026-07-22,TRP.TO,97.6100
2026-07-22,CNQ.TO,64.4200
2026-07-22,SU.TO,91.2800
2026-07-22,CVE.TO,41.2200
2026-07-22,CP.TO,128.9000
2026-07-22,CNR.TO,180.3000
2026-07-22,SHOP.TO,171.1300
2026-07-22,ABX.TO,52.8700
2026-07-22,AEM.TO,207.2200
2026-07-22,NTR.TO,96.7500
2026-07-22,MFC.TO,60.6350
2026-07-22,SLF.TO,114.4900
2026-07-22,BCE.TO,30.6200
2026-07-22,T.TO,14.5100
2026-07-23,AC.TO,22.6300
2026-07-23,RY.TO,293.3900
2026-07-23,TD.TO,168.3800
